epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.94109,1.18395,3.45363,1.36751,0.03202,0.52987,0.13123,0.07414,0.95325,3.48435,0.97405,0.000125025,0.000125025,0.000125025
2,4.86143,1.07175,3.12667,1.32436,0.04245,0.55565,0.17336,0.12662,1.12928,3.41165,1.01989,0.000291724,0.000291724,0.000291724
3,6.74924,1.27248,1.99162,1.48378,0.04236,0.55286,0.27219,0.15987,1.16642,3.02038,1.07562,0.000458421,0.000458421,0.000458421
4,8.65337,0.9258,1.18385,1.22888,0.4824,0.32525,0.23877,0.15547,1.17928,3.07188,1.03384,0.000625111,0.000625111,0.000625111
5,10.5125,1.00334,1.14232,1.26181,0.03259,0.54663,0.17689,0.11379,1.31735,3.24441,1.14782,0.000791794,0.000791794,0.000791794
6,12.3776,0.92573,1.01664,1.14792,0.60582,0.12865,0.24806,0.14883,1.39214,3.09627,1.15555,0.000958466,0.000958466,0.000958466
7,14.219,0.92958,0.99853,1.19227,0.72866,0.16276,0.20322,0.10496,1.38387,3.31294,1.12417,0.00112513,0.00112513,0.00112513
8,16.0801,0.89506,0.93052,1.1979,0.54849,0.07692,0.02954,0.01334,1.42133,3.43963,1.13251,0.00129177,0.00129177,0.00129177
9,17.9371,0.87379,0.87663,1.15092,0.03712,0.43683,0.13238,0.08967,1.38916,3.08617,1.10325,0.0014584,0.0014584,0.0014584
10,19.8439,0.74901,0.79529,1.06214,0.49226,0.3064,0.17234,0.11807,1.36153,2.68296,1.08396,0.001625,0.001625,0.001625
11,21.7001,1.00045,0.88128,1.26643,0.35717,0.14461,0.12804,0.08419,1.48729,2.62173,1.19972,0.00166659,0.00166659,0.00166659
12,23.5141,0.89371,0.90646,1.21379,0.3662,0.13343,0.10366,0.0674,1.45943,2.67705,1.21421,0.00166651,0.00166651,0.00166651
13,25.3654,0.89453,0.84732,1.19054,0.50521,0.28129,0.24403,0.14294,1.50017,2.55542,1.24543,0.00166641,0.00166641,0.00166641
14,27.2005,0.85214,0.84037,1.16617,0.45683,0.20413,0.14072,0.06691,1.79076,2.79408,1.49332,0.00166631,0.00166631,0.00166631
15,29.0283,0.8319,0.8269,1.13693,0.49603,0.19887,0.22741,0.15269,1.48689,2.47928,1.2587,0.0016662,0.0016662,0.0016662
16,30.8227,0.79677,0.76396,1.09828,0.47821,0.31851,0.20495,0.12802,1.56182,2.68777,1.2199,0.00166608,0.00166608,0.00166608
17,32.6274,0.75705,0.69983,1.06898,0.49585,0.34378,0.18826,0.12987,1.42728,2.89423,1.14392,0.00166596,0.00166596,0.00166596
18,34.4335,0.7712,0.7153,1.07316,0.49613,0.22369,0.19453,0.13185,1.41276,2.70489,1.1461,0.00166582,0.00166582,0.00166582
19,36.2631,0.84484,0.81534,1.12614,0.48548,0.23335,0.18869,0.13224,1.44414,2.18949,1.18473,0.00166568,0.00166568,0.00166568
20,38.0623,0.76208,0.72302,1.08537,0.49832,0.24819,0.19148,0.13619,1.49614,2.07593,1.20145,0.00166553,0.00166553,0.00166553
21,39.8667,0.8557,0.78017,1.13811,0.49466,0.20821,0.23188,0.1649,1.4728,1.94201,1.23462,0.00166537,0.00166537,0.00166537
22,41.7311,0.83477,0.74637,1.12022,0.55003,0.25211,0.27353,0.18683,1.55103,1.7013,1.26155,0.0016652,0.0016652,0.0016652
23,43.6108,0.7356,0.67052,1.04856,0.54227,0.30371,0.2437,0.1701,1.59869,1.81017,1.29247,0.00166503,0.00166503,0.00166503
24,45.4589,0.81372,0.71506,1.086,0.38759,0.35798,0.24592,0.14979,1.60226,1.90758,1.26007,0.00166485,0.00166485,0.00166485
25,47.3137,0.78105,0.71042,1.09433,0.50747,0.38864,0.36602,0.23644,1.3445,1.51206,1.12249,0.00166466,0.00166466,0.00166466
26,49.2008,0.73973,0.65578,1.04676,0.6647,0.37623,0.41473,0.24797,1.27467,1.17107,1.07438,0.00166446,0.00166446,0.00166446
27,51.0435,0.75078,0.68495,1.06924,0.48395,0.42974,0.41508,0.25995,1.39835,1.24272,1.13921,0.00166425,0.00166425,0.00166425
28,52.8981,0.77257,0.66361,1.06089,0.46518,0.41921,0.45179,0.28315,1.34603,1.21439,1.102,0.00166403,0.00166403,0.00166403
29,54.7756,0.71519,0.64185,1.05525,0.45044,0.43535,0.40133,0.24421,1.49743,1.29967,1.17172,0.00166381,0.00166381,0.00166381
30,56.638,0.69035,0.62733,1.02066,0.5251,0.4061,0.40089,0.25802,1.34589,1.11494,1.10387,0.00166358,0.00166358,0.00166358
31,58.5074,0.74792,0.72002,1.05839,0.49335,0.22282,0.28077,0.18365,1.58301,1.22414,1.24052,0.00166334,0.00166334,0.00166334
32,60.3442,0.68957,0.64375,1.01572,0.41178,0.19768,0.23814,0.15556,1.61647,1.42804,1.33527,0.00166309,0.00166309,0.00166309
33,62.2107,0.64074,0.58006,0.99941,0.48368,0.33326,0.35686,0.21729,1.58257,1.11739,1.30282,0.00166283,0.00166283,0.00166283
34,64.0482,0.61425,0.56409,1.00059,0.45057,0.23684,0.23075,0.15442,1.7317,1.43883,1.4946,0.00166257,0.00166257,0.00166257
35,65.922,0.67763,0.61364,1.06972,0.43954,0.16578,0.18706,0.10691,1.90916,1.727,1.70737,0.0016623,0.0016623,0.0016623
36,67.7461,0.64015,0.58589,0.9993,0.46614,0.18092,0.20196,0.11592,1.65289,1.46703,1.40156,0.00166202,0.00166202,0.00166202
37,69.5986,0.78393,0.71814,1.09451,0.36207,0.25011,0.22084,0.12313,1.77296,1.48833,1.4488,0.00166173,0.00166173,0.00166173
38,71.4609,0.67,0.64703,1.01875,0.09998,0.10056,0.05531,0.02384,2.2029,2.39353,1.75291,0.00166143,0.00166143,0.00166143
39,73.3137,0.74437,0.672,1.0911,0.19305,0.13343,0.12981,0.0793,2.05846,2.1447,1.6158,0.00166113,0.00166113,0.00166113
