epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,3.40055,1.31658,3.57703,0.01073,0.01712,0.17125,0.05876,0.04245,1.74113,3.71559,0.00689,8.57143e-05,8.57143e-05,0.0915143
2,6.00178,1.23598,2.80026,0.01022,0.01889,0.18994,0.06036,0.02422,2.47985,3.69828,0.01119,0.000185669,0.000185669,0.0816142
3,8.40447,1.14535,2.49702,0.01012,0.01833,0.18436,0.07466,0.04078,2.18554,3.78089,0.00961,0.000285435,0.000285435,0.071714
4,10.7371,1.21245,2.3013,0.01026,0.02167,0.21788,0.10435,0.07096,1.7949,3.71174,0.00741,0.000384867,0.000384867,0.0618134
5,13.1911,1.18907,2.04734,0.01003,0.02389,0.24022,0.12322,0.08394,1.63252,3.73113,0.00629,0.000483818,0.000483818,0.0519124
6,15.5269,1.20785,1.99044,0.01038,0.02752,0.27654,0.14623,0.09251,1.52481,3.71151,0.00564,0.000582145,0.000582145,0.0420107
7,17.8414,1.07055,1.80198,0.00911,0.02917,0.2933,0.15958,0.10067,1.44047,3.62894,0.00548,0.000679702,0.000679702,0.0321083
8,20.2139,1.06493,1.72612,0.00904,0.03056,0.30726,0.16835,0.10979,1.38131,3.49506,0.00513,0.000776348,0.000776348,0.0222049
9,22.6466,1.07552,1.71137,0.00912,0.53168,0.3569,0.21498,0.13424,1.40569,3.33472,0.00504,0.00087194,0.00087194,0.0123005
10,25.1963,1.00525,1.64162,0.00865,0.09832,0.39257,0.24656,0.1897,1.36674,3.22764,0.00463,0.00096634,0.00096634,0.00239491
11,27.5994,0.91208,1.44773,0.00736,0.0861,0.46949,0.27714,0.20866,1.34877,3.0172,0.00482,0.000975773,0.000975773,0.000975773
12,29.9397,0.92533,1.41093,0.00707,0.09115,0.51633,0.30221,0.20884,1.38786,2.8366,0.00515,0.000970736,0.000970736,0.000970736
13,32.2838,0.99304,1.44272,0.00868,0.11762,0.62613,0.29611,0.20087,1.37196,2.57228,0.00493,0.000965239,0.000965239,0.000965239
14,34.6344,1.06019,1.45563,0.00907,0.14427,0.63451,0.31382,0.21797,1.34257,2.45758,0.00465,0.000959289,0.000959289,0.000959289
15,37.0041,0.94259,1.30724,0.00783,0.11739,0.55544,0.34404,0.24886,1.3811,2.44986,0.00495,0.000952889,0.000952889,0.000952889
16,39.2829,0.91184,1.32376,0.00733,0.12532,0.59669,0.37392,0.24423,1.41481,2.41461,0.00518,0.000946048,0.000946048,0.000946048
17,41.5767,0.96063,1.29081,0.00809,0.12396,0.60786,0.40146,0.28226,1.38782,2.2794,0.00485,0.000938772,0.000938772,0.000938772
18,43.9701,0.92554,1.16697,0.00762,0.86174,0.17541,0.41638,0.30879,1.35837,1.99724,0.00475,0.000931067,0.000931067,0.000931067
19,46.3773,0.9131,1.21268,0.00763,0.65679,0.29061,0.44236,0.31814,1.34544,1.82698,0.0046,0.000922942,0.000922942,0.000922942
20,49.0537,0.99204,1.24124,0.00772,0.65618,0.31699,0.45899,0.32234,1.34835,1.76361,0.00473,0.000914405,0.000914405,0.000914405
21,51.3889,0.93063,1.22619,0.00806,0.68566,0.36475,0.47654,0.33199,1.38645,1.70793,0.00496,0.000905463,0.000905463,0.000905463
22,53.7576,0.89775,1.05186,0.00695,0.72716,0.36575,0.48032,0.3548,1.34302,1.7239,0.00457,0.000896127,0.000896127,0.000896127
23,56.0917,0.91367,1.09503,0.00799,0.65495,0.37269,0.50035,0.36044,1.40893,1.899,0.00502,0.000886404,0.000886404,0.000886404
24,58.3833,0.91215,1.06088,0.00737,0.6036,0.3382,0.51621,0.36909,1.41793,1.95087,0.0051,0.000876305,0.000876305,0.000876305
25,60.8863,0.90302,1.06847,0.00769,0.70129,0.41849,0.55249,0.39665,1.39656,1.9175,0.0049,0.000865839,0.000865839,0.000865839
26,63.209,0.90061,1.07634,0.00773,0.8187,0.43656,0.59442,0.42302,1.39301,1.81277,0.00484,0.000855018,0.000855018,0.000855018
27,65.5802,0.80886,0.98775,0.00638,0.6484,0.42163,0.58202,0.40357,1.40393,1.69183,0.00497,0.000843851,0.000843851,0.000843851
28,67.9122,0.84652,1.0057,0.00632,0.6812,0.46396,0.58118,0.40378,1.37981,1.62414,0.00481,0.000832349,0.000832349,0.000832349
29,70.2402,0.84052,0.97769,0.00706,0.72055,0.51243,0.58558,0.41755,1.37168,1.44461,0.00481,0.000820525,0.000820525,0.000820525
30,72.6596,0.86271,1.0521,0.00748,0.63771,0.50886,0.57698,0.41802,1.39079,1.28228,0.00476,0.000808389,0.000808389,0.000808389
31,75.0098,0.82099,0.93523,0.00699,0.55539,0.48625,0.57785,0.41798,1.41715,1.22132,0.00487,0.000795954,0.000795954,0.000795954
32,77.3543,0.86691,0.94924,0.00691,0.60319,0.55219,0.57887,0.41899,1.42075,1.20466,0.0049,0.000783231,0.000783231,0.000783231
33,79.6849,0.83661,0.9719,0.0069,0.62685,0.52032,0.58362,0.43084,1.39787,1.18728,0.0048,0.000770234,0.000770234,0.000770234
34,82.0508,0.80498,0.90345,0.00659,0.7031,0.48002,0.56722,0.40839,1.37399,1.21916,0.00477,0.000756976,0.000756976,0.000756976
35,84.3515,0.7965,0.92799,0.00648,0.74065,0.47225,0.56195,0.42503,1.33555,1.25794,0.00444,0.000743468,0.000743468,0.000743468
36,86.7453,0.79207,0.8464,0.00665,0.75794,0.47164,0.55642,0.41874,1.3343,1.27626,0.00442,0.000729725,0.000729725,0.000729725
37,89.1514,0.75568,0.82158,0.00584,0.7168,0.4743,0.54659,0.40909,1.35641,1.33721,0.00456,0.000715761,0.000715761,0.000715761
38,91.5501,0.84124,0.91468,0.00617,0.73317,0.50801,0.54212,0.40531,1.36179,1.34941,0.00471,0.000701588,0.000701588,0.000701588
39,93.9419,0.81744,0.90224,0.00681,0.68824,0.47817,0.55422,0.40991,1.31443,1.32905,0.00443,0.000687222,0.000687222,0.000687222
40,96.249,0.73582,0.8777,0.00644,0.77886,0.43253,0.56495,0.42126,1.31976,1.34005,0.00443,0.000672675,0.000672675,0.000672675
41,98.6697,0.82525,0.89627,0.00687,0.68533,0.50172,0.58449,0.43506,1.32085,1.43393,0.00449,0.000657963,0.000657963,0.000657963
