epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,3.53797,1.39397,3.58831,0.01147,0.00222,0.02235,0.01651,0.00469,1.8615,3.76949,0.0084,0.000857143,0.000857143,0.0922857
2,5.99805,1.46761,2.69184,0.01297,0.01528,0.15363,0.04239,0.01748,2.48846,3.78244,0.01206,0.00185709,0.00185709,0.0832857
3,8.37839,1.39805,2.22109,0.0132,0.0125,0.1257,0.03326,0.01493,2.25781,3.96214,0.01149,0.00285683,0.00285683,0.0742854
4,10.6741,1.46372,1.87043,0.01301,0.02194,0.22067,0.12866,0.06928,1.88038,3.8249,0.00837,0.0038562,0.0038562,0.0652848
5,13.0753,1.42977,1.67319,0.01259,0.02028,0.20391,0.12085,0.06303,2.12545,4.06849,0.0094,0.00485503,0.00485503,0.0562836
6,15.4108,1.51345,1.76084,0.01375,0.00583,0.05866,0.00136,0.0003,3.58394,3.65377,0.02756,0.00585317,0.00585317,0.0472817
7,19.901,1.5518,1.5994,0.01383,0.00611,0.06145,0.00156,0.00032,3.57867,3.65555,0.02751,0.00685045,0.00685045,0.038279
8,22.6593,1.53022,1.56975,0.01423,0.00445,0.04469,0.00118,0.00029,4.00604,3.6239,0.02408,0.0078467,0.0078467,0.0292753
9,25.058,1.38824,1.51591,0.01296,0.00056,0.00559,2e-05,1e-05,4.70655,4.23892,0.04314,0.00884177,0.00884177,0.0202703
10,29.5315,1.29588,1.31657,0.01067,0.00056,0.00559,2e-05,1e-05,4.68696,4.23568,0.04259,0.00983549,0.00983549,0.0112641
11,32.0063,1.48578,1.50898,0.0134,0.01572,0.07263,0.01525,0.00477,3.96912,3.95436,0.02074,0.00997288,0.00997288,0.00997288
12,34.3591,1.57734,1.4895,0.01387,0.22902,0.02235,0.01722,0.00726,3.78099,3.92674,0.01984,0.0099672,0.0099672,0.0099672
13,36.7132,1.43759,1.42949,0.01297,0.59011,0.00838,0.00848,0.00271,3.77764,3.77327,0.01816,0.00996097,0.00996097,0.00996097
14,38.9924,1.28786,1.34643,0.0113,0.79823,0.00559,0.0054,0.00226,3.78732,4.02336,0.01761,0.0099542,0.0099542,0.0099542
15,41.288,1.46573,1.42757,0.01365,0.51961,0.00559,0.00096,0.00028,3.93628,4.59912,0.01974,0.0099469,0.0099469,0.0099469
16,43.594,1.35165,1.24097,0.0122,0.53903,0.01117,0.00154,0.00039,3.82379,4.68131,0.01844,0.00993906,0.00993906,0.00993906
17,46.046,1.36619,1.32068,0.01184,0.03287,0.11667,0.01295,0.00201,3.08305,4.52596,0.01526,0.00993068,0.00993068,0.00993068
18,48.4964,1.40475,1.37163,0.01175,0.33405,0.12371,0.11937,0.07339,2.55029,3.26966,0.0126,0.00992177,0.00992177,0.00992177
19,50.8358,1.35754,1.32154,0.01286,0.28038,0.20964,0.16148,0.07605,2.73197,2.46762,0.01465,0.00991232,0.00991232,0.00991232
20,53.2247,1.33844,1.17508,0.01154,0.30715,0.22511,0.15343,0.08736,2.41264,2.60441,0.01306,0.00990234,0.00990234,0.00990234
